metric_id,dataset,model,metric,value,units,population,source_file,source_column,status,report_section,destination,notes
INV-m5-SBA-sl,m5,SBA,service_level,0.909188,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=4.59 reorders=10.39
INV-m5-SES-cost,m5,SES,total_cost,159.310886,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=138.32 short=21.00
INV-m5-SES-sl,m5,SES,service_level,0.935696,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=4.94 reorders=10.50
INV-m5-Seasonal Naive-cost,m5,Seasonal Naive,total_cost,192.553226,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=170.73 short=21.82
INV-m5-Seasonal Naive-sl,m5,Seasonal Naive,service_level,0.9375,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=6.10 reorders=10.16
INV-m5-TES-cost,m5,TES,total_cost,346.673066,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=304.28 short=42.40
INV-m5-TES-sl,m5,TES,service_level,0.880437,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=10.87 reorders=14.64
INV-m5-TSB-cost,m5,TSB,total_cost,165.128508,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.7,T-06,POLICY_DEFAULT L7/95%/H1/P5; hold=143.54 short=21.59
INV-m5-TSB-sl,m5,TSB,service_level,0.931955,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.7,T-06,avg_inv=5.13 reorders=10.38
INV-store_item_demand-ARIMA-cost,store_item_demand,ARIMA,total_cost,2320.874272,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.8,T-07,POLICY_DEFAULT L7/95%/H1/P5; hold=1076.48 short=1244.40
INV-store_item_demand-ARIMA-sl,store_item_demand,ARIMA,service_level,0.523893,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.8,T-07,avg_inv=38.45 reorders=22.20
INV-store_item_demand-DES-cost,store_item_demand,DES,total_cost,2779.639974,cost-units,4000 series-origins,06_results/inventory/inventory_by_model.csv,total_cost,FINAL,4.8,T-07,POLICY_DEFAULT L7/95%/H1/P5; hold=2130.09 short=649.55
INV-store_item_demand-DES-sl,store_item_demand,DES,service_level,0.734652,fraction,4000 series-origins,06_results/inventory/inventory_by_model.csv,service_level,FINAL,4.8,T-07,avg_inv=76.07 reorders=22.36
